epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,3597.44,1.91216,3.08377,2.55313,1.93177,0,0.42664,0.17751,0.13453,0.04353,0.42131,0.17652,0.12635,0.04147,2.2949,2.80256,2.9242,2.51849,0,0.009076,0.009076,0.009076
30,3718.19,1.92175,3.02729,2.56776,1.92104,0,0.40381,0.19155,0.1362,0.03966,0.39794,0.16867,0.12445,0.03667,2.41272,2.85368,2.90446,2.80159,0,0.009043,0.009043,0.009043
31,3839.04,1.90316,3.04992,2.54471,1.91171,0,0.502,0.15686,0.13882,0.04943,0.52815,0.13823,0.1286,0.04732,2.32326,2.89708,2.9262,2.49103,0,0.00901,0.00901,0.00901
32,3959.75,1.88926,2.98264,2.50831,1.90087,0,0.12656,0.20329,0.11605,0.03959,0.13041,0.17974,0.11103,0.03881,2.32234,2.78103,3.09725,2.52954,0,0.008977,0.008977,0.008977
33,4080.45,1.91022,3.04976,2.52877,1.91982,0,0.41866,0.18685,0.12573,0.04614,0.42132,0.18713,0.1275,0.0467,2.32491,2.80637,2.90836,2.40792,0,0.008944,0.008944,0.008944
34,4200.98,1.89906,3.04217,2.50528,1.90042,0,0.15161,0.22292,0.14236,0.04719,0.49279,0.14228,0.13916,0.0483,2.36756,2.80303,2.87523,2.49431,0,0.008911,0.008911,0.008911
35,4324.86,1.88457,3.03052,2.47831,1.88439,0,0.45215,0.21992,0.16078,0.06029,0.45536,0.21028,0.16118,0.06023,2.29271,2.73221,2.80171,2.47881,0,0.008878,0.008878,0.008878
36,4455.13,1.88689,2.98533,2.44915,1.87767,0,0.47127,0.21626,0.16341,0.05787,0.44935,0.20546,0.15255,0.05177,2.316,2.791,2.77289,2.50509,0,0.008845,0.008845,0.008845
37,4579.81,1.85229,2.95309,2.45748,1.86197,0,0.44732,0.19557,0.14069,0.04927,0.44151,0.189,0.13101,0.04289,2.34564,3.04397,3.08598,2.63218,0,0.008812,0.008812,0.008812
38,4706.59,1.82348,2.98574,2.46559,1.84362,0,0.46127,0.20934,0.14688,0.05216,0.45025,0.19485,0.13207,0.04237,2.32337,2.79234,2.93049,2.50989,0,0.008779,0.008779,0.008779
